date,FDC,Fellowships,Grants Program,IEG,PSP,Wikimania Scholarships
2012/12/01,8508409.0,101942.47,203121.96,,6641.73,145884.0
2013/06/01,665000.0,,174322.4,57459.0,16838.36,
